assertion_id,passage_id,filename,assertion_type,asserted_by,asserted_on,certainty,stance,voice,note,ref_mode,discursive_function,target_agent_label,agent,target_instance_label,target_event_label,target_concept_label,is_translation,translator_label,target_location_type,target_location_label
16,49900105.00043,0049900105.00043.txt,thematic_ref,ai_annotation,12/21/2025,3,ambivalent,NA,NA,NA,NA,NA,NA,NA,NA,repentance and forgiveness,NA,NA,NA,NA
17,49900105.00043,0049900105.00043.txt,thematic_ref,ai_annotation,12/21/2025,2,ambivalent,NA,NA,NA,NA,NA,NA,NA,NA,gender hierarchy,NA,NA,NA,NA
18,49900105.00043,0049900105.00043.txt,thematic_ref,ai_annotation,12/21/2025,3,endorsing,NA,NA,NA,NA,NA,NA,NA,NA,moral integrity above fortune,NA,NA,NA,NA
19,49900105.00043,0049900105.00043.txt,discursive_function,ai_annotation,12/21/2025,3,NA,NA,NA,NA,epistolary_prose,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,49900105.00043,0049900105.00043.txt,voice,ai_annotation,12/21/2025,3,NA,character_speech,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,937100600.00001,0937100600.00001.txt,thematic_ref,ai_annotation,12/21/2025,3,endorsing,NA,NA,NA,NA,NA,NA,NA,NA,universality of poetic subject matter,NA,NA,NA,NA
22,937100600.00001,0937100600.00001.txt,thematic_ref,ai_annotation,12/21/2025,3,endorsing,NA,NA,NA,NA,NA,NA,NA,NA,colloquial poetic language,NA,NA,NA,NA
23,937100600.00001,0937100600.00001.txt,thematic_ref,ai_annotation,12/21/2025,3,critiquing,NA,NA,NA,NA,NA,NA,NA,NA,poetic diction,NA,NA,NA,NA
24,937100600.00001,0937100600.00001.txt,thematic_ref,ai_annotation,12/21/2025,3,endorsing,NA,NA,NA,NA,NA,NA,NA,NA,taste,NA,NA,NA,NA
25,937100600.00001,0937100600.00001.txt,thematic_ref,ai_annotation,12/21/2025,3,endorsing,NA,NA,NA,NA,NA,NA,NA,NA,experimental poetry,NA,NA,NA,NA
26,937100600.00001,0937100600.00001.txt,personal_ref,ai_annotation,12/21/2025,3,endorsing,NA,NA,paraphrase,NA,Sir Joshua Reynolds,A0036,NA,NA,NA,NA,NA,NA,NA
27,937100600.00001,0937100600.00001.txt,intertextual_ref,ai_annotation,12/21/2025,3,neutral,NA,NA,explicit_mention_work,NA,William Wordsworth,NA,Goody Blake and Harry Gill,NA,NA,NA,NA,NA,NA
28,937100600.00001,0937100600.00001.txt,intertextual_ref,ai_annotation,12/21/2025,3,neutral,NA,NA,explicit_mention_work,NA,William Wordsworth,NA,The Thorn,NA,NA,NA,NA,NA,NA
29,937100600.00001,0937100600.00001.txt,intertextual_ref,ai_annotation,12/21/2025,3,neutral,NA,NA,explicit_mention_work,NA,Samuel Taylor Coleridge,NA,The Rime of the Ancient Mariner,NA,NA,NA,NA,NA,NA
30,937100600.00001,0937100600.00001.txt,intertextual_ref,ai_annotation,12/21/2025,3,neutral,NA,NA,explicit_mention_work,NA,William Wordsworth,NA,Expostulation and Reply,NA,NA,NA,NA,NA,NA
31,937100600.00001,0937100600.00001.txt,intertextual_ref,ai_annotation,12/21/2025,2,neutral,NA,NA,explicit_mention_work,NA,William Wordsworth,NA,The Tables Turned,NA,NA,NA,NA,NA,NA
32,937100600.00001,0937100600.00001.txt,discursive_function,ai_annotation,12/21/2025,3,NA,NA,NA,NA,critical_preface,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,937100600.00001,0937100600.00001.txt,voice,ai_annotation,12/21/2025,3,NA,narrator,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,295400903.00048,0295400903.00048.txt,thematic_ref,ai_annotation,12/21/2025,3,critiquing,NA,NA,NA,NA,NA,NA,NA,NA,perfectionism,NA,NA,NA,NA
35,295400903.00048,0295400903.00048.txt,thematic_ref,ai_annotation,12/21/2025,3,endorsing,NA,NA,NA,NA,NA,NA,NA,NA,brevity of life,NA,NA,NA,NA
36,295400903.00048,0295400903.00048.txt,thematic_ref,ai_annotation,12/21/2025,3,critiquing,NA,NA,NA,NA,NA,NA,NA,NA,social imitation,NA,NA,NA,NA
37,295400903.00048,0295400903.00048.txt,thematic_ref,ai_annotation,12/21/2025,3,critiquing,NA,NA,NA,NA,NA,NA,NA,NA,mimetic desire,NA,NA,NA,NA
38,295400903.00048,0295400903.00048.txt,thematic_ref,ai_annotation,12/21/2025,3,critiquing,NA,NA,NA,NA,NA,NA,NA,NA,conformism,NA,NA,NA,NA
39,295400903.00048,0295400903.00048.txt,thematic_ref,ai_annotation,12/21/2025,3,endorsing,NA,NA,NA,NA,NA,NA,NA,NA,pleasure and liberty,NA,NA,NA,NA
40,295400903.00048,0295400903.00048.txt,thematic_ref,ai_annotation,12/21/2025,2,ambivalent,NA,NA,NA,NA,NA,NA,NA,NA,rural retirement,NA,NA,NA,NA
41,295400903.00048,0295400903.00048.txt,thematic_ref,ai_annotation,12/21/2025,2,neutral,NA,NA,NA,NA,NA,NA,NA,NA,solitude,NA,NA,NA,NA
42,295400903.00048,0295400903.00048.txt,personal_ref,ai_annotation,12/21/2025,3,neutral,NA,NA,quotation,NA,Horace,A0037,NA,NA,NA,NA,NA,NA,NA
43,295400903.00048,0295400903.00048.txt,personal_ref,ai_annotation,12/21/2025,3,neutral,NA,NA,paraphrase,NA,Aristotle,A0038,NA,NA,NA,NA,NA,NA,NA
44,295400903.00048,0295400903.00048.txt,discursive_function,ai_annotation,12/21/2025,3,NA,NA,NA,NA,moral_essay,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,295400903.00048,0295400903.00048.txt,voice,ai_annotation,12/21/2025,3,NA,narrator,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,922700800.00001,0922700800.00001.txt,thematic_ref,ai_annotation,12/21/2025,3,critiquing,NA,NA,NA,NA,NA,NA,NA,NA,slavery,NA,NA,NA,NA
47,922700800.00001,0922700800.00001.txt,thematic_ref,ai_annotation,12/21/2025,3,critiquing,NA,NA,NA,NA,NA,NA,NA,NA,slavery in America,NA,NA,NA,NA
48,922700800.00001,0922700800.00001.txt,thematic_ref,ai_annotation,12/21/2025,3,endorsing,NA,NA,NA,NA,NA,NA,NA,NA,domestic service,NA,NA,NA,NA
49,922700800.00001,0922700800.00001.txt,thematic_ref,ai_annotation,12/21/2025,2,endorsing,NA,NA,NA,NA,NA,NA,NA,NA,christianity opposing slavery,NA,NA,NA,NA
50,922700800.00001,0922700800.00001.txt,thematic_ref,ai_annotation,12/21/2025,3,endorsing,NA,NA,NA,NA,NA,NA,NA,NA,African homeland and environment,NA,NA,NA,NA
51,922700800.00001,0922700800.00001.txt,historical_ref,ai_annotation,12/21/2025,2,neutral,NA,NA,NA,NA,NA,NA,NA,slavery in ancient and medieval Europe,NA,NA,NA,NA,NA
52,922700800.00001,0922700800.00001.txt,historical_ref,ai_annotation,12/21/2025,2,endorsing,NA,NA,NA,NA,NA,NA,NA,decline of slavery in medieval Christian Europe,NA,NA,NA,NA,NA
53,922700800.00001,0922700800.00001.txt,historical_ref,ai_annotation,12/21/2025,3,critiquing,NA,NA,NA,NA,NA,NA,NA,rise of the transatlantic slave trade,NA,NA,NA,NA,NA
54,922700800.00001,0922700800.00001.txt,historical_ref,ai_annotation,12/21/2025,3,endorsing,NA,NA,NA,NA,NA,NA,NA,Charles Vs order to free Negro slaves in Spanish dominions,NA,NA,NA,NA,NA
55,922700800.00001,0922700800.00001.txt,thematic_ref,ai_annotation,12/21/2025,3,neutral,NA,NA,NA,NA,NA,NA,NA,NA,Guinea region of West Africa,NA,NA,NA,NA
56,922700800.00001,0922700800.00001.txt,personal_ref,ai_annotation,12/21/2025,3,endorsing,NA,NA,NA,NA,Charles V,NA,NA,NA,NA,NA,NA,NA,NA
57,922700800.00001,0922700800.00001.txt,personal_ref,ai_annotation,12/21/2025,3,endorsing,NA,NA,NA,NA,Francis Hargrave,A0040,NA,NA,NA,NA,NA,NA,NA
58,922700800.00001,0922700800.00001.txt,intertextual_ref,ai_annotation,12/21/2025,3,endorsing,NA,NA,explicit_mention_work,NA,Francis Hargrave,A0040,An argument in the case of James Sommersett a negro,NA,NA,FALSE,NA,NA,NA
59,922700800.00001,0922700800.00001.txt,personal_ref,ai_annotation,12/21/2025,2,neutral,NA,NA,NA,NA,André Brue,A0041,NA,NA,NA,NA,NA,NA,NA
60,922700800.00001,0922700800.00001.txt,personal_ref,ai_annotation,12/21/2025,2,neutral,NA,NA,explicit_mention_author,NA,André Brue,A0041,NA,NA,NA,FALSE,NA,NA,NA
61,922700800.00001,0922700800.00001.txt,discursive_function,ai_annotation,12/21/2025,3,NA,NA,NA,NA,moral_essay,NA,NA,NA,NA,NA,NA,NA,NA,NA
62,922700800.00001,0922700800.00001.txt,voice,ai_annotation,12/21/2025,3,NA,narrator,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63,922700800.00002,0922700800.00002.txt,thematic_ref,ai_annotation,12/21/2025,3,endorsing,NA,NA,NA,NA,NA,NA,NA,NA,africa,NA,NA,NA,NA
64,922700800.00002,0922700800.00002.txt,thematic_ref,ai_annotation,12/21/2025,3,endorsing,NA,NA,NA,NA,NA,NA,NA,NA,african moral character,NA,NA,NA,NA
65,922700800.00002,0922700800.00002.txt,thematic_ref,ai_annotation,12/21/2025,3,endorsing,NA,NA,NA,NA,NA,NA,NA,NA,state of nature idealization,NA,NA,NA,NA
66,922700800.00002,0922700800.00002.txt,thematic_ref,ai_annotation,12/21/2025,3,endorsing,NA,NA,NA,NA,NA,NA,NA,NA,african industry and social order,NA,NA,NA,NA
67,922700800.00002,0922700800.00002.txt,thematic_ref,ai_annotation,12/21/2025,3,endorsing,NA,NA,NA,NA,NA,NA,NA,NA,african religious piety,NA,NA,NA,NA
68,922700800.00002,0922700800.00002.txt,thematic_ref,ai_annotation,12/21/2025,3,critiquing,NA,NA,NA,NA,NA,NA,NA,NA,european prejudice against africans,NA,NA,NA,NA
69,922700800.00002,0922700800.00002.txt,thematic_ref,ai_annotation,12/21/2025,3,critiquing,NA,NA,NA,NA,NA,NA,NA,NA,european enslavement of africans,NA,NA,NA,NA
70,922700800.00002,0922700800.00002.txt,historical_ref,ai_annotation,12/21/2025,3,neutral,NA,NA,NA,NA,NA,NA,NA,Guinea region of West Africa,NA,NA,NA,NA,NA
71,922700800.00002,0922700800.00002.txt,historical_ref,ai_annotation,12/21/2025,3,critiquing,NA,NA,NA,NA,NA,NA,NA,transatlantic slave trade,NA,NA,NA,NA,NA
72,922700800.00002,0922700800.00002.txt,personal_ref,ai_annotation,12/21/2025,3,endorsing,NA,NA,NA,NA,Jalofs of Senegal,NA,NA,NA,NA,NA,NA,NA,NA
73,922700800.00002,0922700800.00002.txt,personal_ref,ai_annotation,12/21/2025,3,endorsing,NA,NA,NA,NA,Fulis of Senegal,NA,NA,NA,NA,NA,NA,NA,NA
74,922700800.00002,0922700800.00002.txt,personal_ref,ai_annotation,12/21/2025,3,endorsing,NA,NA,NA,NA,Mandingos of Senegal,NA,NA,NA,NA,NA,NA,NA,NA
75,922700800.00002,0922700800.00002.txt,personal_ref,ai_annotation,12/21/2025,3,endorsing,NA,NA,NA,NA,inhabitants of Grain and Ivory Coast,NA,NA,NA,NA,NA,NA,NA,NA
76,922700800.00002,0922700800.00002.txt,personal_ref,ai_annotation,12/21/2025,3,endorsing,NA,NA,NA,NA,natives of Gold and Slave-Coast,NA,NA,NA,NA,NA,NA,NA,NA
77,922700800.00002,0922700800.00002.txt,personal_ref,ai_annotation,12/21/2025,3,endorsing,NA,NA,NA,NA,natives of Whidah,NA,NA,NA,NA,NA,NA,NA,NA
78,922700800.00002,0922700800.00002.txt,personal_ref,ai_annotation,12/21/2025,3,neutral,NA,NA,NA,NA,André Brue,A0041,NA,NA,NA,NA,NA,NA,NA
79,922700800.00002,0922700800.00002.txt,personal_ref,ai_annotation,12/21/2025,3,neutral,NA,NA,NA,NA,André Brue,A0041,NA,NA,NA,NA,NA,NA,NA
80,922700800.00002,0922700800.00002.txt,personal_ref,ai_annotation,12/21/2025,3,neutral,NA,NA,explicit_mention_author,NA,André Brue,A0041,NA,NA,NA,FALSE,NA,NA,NA
81,922700800.00002,0922700800.00002.txt,personal_ref,ai_annotation,12/21/2025,3,endorsing,NA,NA,quotation,NA,Michel Adanson,A0042,NA,NA,NA,FALSE,NA,NA,NA
82,922700800.00002,0922700800.00002.txt,discursive_function,ai_annotation,12/21/2025,3,NA,NA,NA,NA,moral_essay,NA,NA,NA,NA,NA,NA,NA,NA,NA
83,922700800.00002,0922700800.00002.txt,voice,ai_annotation,12/21/2025,3,NA,narrator,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
84,922700800.00003,0922700800.00003.txt,thematic_ref,ai_annotation,12/21/2025,3,endorsing,NA,NA,NA,NA,NA,NA,NA,NA,african monotheism,NA,NA,NA,NA
85,922700800.00003,0922700800.00003.txt,thematic_ref,ai_annotation,12/21/2025,3,endorsing,NA,NA,NA,NA,NA,NA,NA,NA,african social welfare,NA,NA,NA,NA
86,922700800.00003,0922700800.00003.txt,thematic_ref,ai_annotation,12/21/2025,3,endorsing,NA,NA,NA,NA,NA,NA,NA,NA,african moral superiority over europeans,NA,NA,NA,NA
87,922700800.00003,0922700800.00003.txt,thematic_ref,ai_annotation,12/21/2025,3,critiquing,NA,NA,NA,NA,NA,NA,NA,NA,european racial prejudice against africans,NA,NA,NA,NA
88,922700800.00003,0922700800.00003.txt,thematic_ref,ai_annotation,12/21/2025,3,critiquing,NA,NA,NA,NA,NA,NA,NA,NA,slavery,NA,NA,NA,NA
89,922700800.00003,0922700800.00003.txt,thematic_ref,ai_annotation,12/21/2025,3,critiquing,NA,NA,NA,NA,NA,NA,NA,NA,christian complicity in slavery,NA,NA,NA,NA
90,922700800.00003,0922700800.00003.txt,thematic_ref,ai_annotation,12/21/2025,3,critiquing,NA,NA,NA,NA,NA,NA,NA,NA,european corruption of african societies,NA,NA,NA,NA
91,922700800.00003,0922700800.00003.txt,historical_ref,ai_annotation,12/21/2025,3,critiquing,NA,NA,NA,NA,NA,NA,NA,transatlantic slave trade,NA,NA,NA,NA,NA
92,922700800.00003,0922700800.00003.txt,historical_ref,ai_annotation,12/21/2025,3,critiquing,NA,NA,NA,NA,NA,NA,NA,early english slave trade to guinea,NA,NA,NA,NA,NA
93,922700800.00003,0922700800.00003.txt,historical_ref,ai_annotation,12/21/2025,3,critiquing,NA,NA,NA,NA,NA,NA,NA,john hawkins first english slave trading voyage,NA,NA,NA,NA,NA
94,922700800.00003,0922700800.00003.txt,historical_ref,ai_annotation,12/21/2025,3,critiquing,NA,NA,NA,NA,NA,NA,NA,european instigation of african wars for slave capture,NA,NA,NA,NA,NA
95,922700800.00003,0922700800.00003.txt,historical_ref,ai_annotation,12/21/2025,2,critiquing,NA,NA,NA,NA,NA,NA,NA,king of barfally slave raids for european trade,NA,NA,NA,NA,NA
96,922700800.00003,0922700800.00003.txt,personal_ref,ai_annotation,12/21/2025,3,endorsing,NA,NA,NA,NA,africans of west african coast from senegal to angola,NA,NA,NA,NA,NA,NA,NA,NA
97,922700800.00003,0922700800.00003.txt,personal_ref,ai_annotation,12/21/2025,2,critiquing,NA,NA,NA,NA,european nations england and france,NA,NA,NA,NA,NA,NA,NA,NA
98,922700800.00003,0922700800.00003.txt,personal_ref,ai_annotation,12/21/2025,3,critiquing,NA,NA,NA,NA,christian slave traders,NA,NA,NA,NA,NA,NA,NA,NA
99,922700800.00003,0922700800.00003.txt,personal_ref,ai_annotation,12/21/2025,3,critiquing,NA,NA,NA,NA,Sir John Hawkins,A0043,NA,NA,NA,NA,NA,NA,NA
100,922700800.00003,0922700800.00003.txt,personal_ref,ai_annotation,12/21/2025,2,critiquing,NA,NA,NA,NA,King of Barfally,NA,NA,NA,NA,NA,NA,NA,NA
101,922700800.00003,0922700800.00003.txt,personal_ref,ai_annotation,12/21/2025,3,neutral,NA,NA,NA,NA,Francis Moore,NA,NA,NA,NA,NA,NA,NA,NA
102,922700800.00003,0922700800.00003.txt,personal_ref,ai_annotation,12/21/2025,3,neutral,NA,NA,NA,NA,André Brue,A0041,NA,NA,NA,NA,NA,NA,NA
103,922700800.00003,0922700800.00003.txt,personal_ref,ai_annotation,12/21/2025,3,neutral,NA,NA,NA,NA,Jean Barbot,A0044,NA,NA,NA,NA,NA,NA,NA
104,922700800.00003,0922700800.00003.txt,personal_ref,ai_annotation,12/21/2025,3,endorsing,NA,NA,quotation,NA,Francis Moore,NA,NA,NA,NA,FALSE,NA,NA,NA
105,922700800.00003,0922700800.00003.txt,personal_ref,ai_annotation,12/21/2025,3,endorsing,NA,NA,quotation,NA,André Brue,A0041,NA,NA,NA,FALSE,NA,NA,NA
106,922700800.00003,0922700800.00003.txt,personal_ref,ai_annotation,12/21/2025,3,endorsing,NA,NA,quotation,NA,Jean Barbot,A0044,NA,NA,NA,FALSE,NA,NA,NA
107,922700800.00003,0922700800.00003.txt,discursive_function,ai_annotation,12/21/2025,3,NA,NA,NA,NA,moral_essay,NA,NA,NA,NA,NA,NA,NA,NA,NA
108,922700800.00003,0922700800.00003.txt,voice,ai_annotation,12/21/2025,3,NA,narrator,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
109,922700800.00004,0922700800.00004.txt,thematic_ref,ai_annotation,12/21/2025,3,critiquing,NA,NA,NA,NA,NA,NA,NA,NA,slavery,NA,NA,NA,NA
110,922700800.00004,0922700800.00004.txt,thematic_ref,ai_annotation,12/21/2025,3,critiquing,NA,NA,NA,NA,NA,NA,NA,NA,slave raiding and kidnapping,NA,NA,NA,NA
111,922700800.00004,0922700800.00004.txt,thematic_ref,ai_annotation,12/21/2025,3,critiquing,NA,NA,NA,NA,NA,NA,NA,NA,christian hypocrisy in slavery,NA,NA,NA,NA
112,922700800.00004,0922700800.00004.txt,thematic_ref,ai_annotation,12/21/2025,3,critiquing,NA,NA,NA,NA,NA,NA,NA,NA,slave trade mortality as murder,NA,NA,NA,NA
113,922700800.00004,0922700800.00004.txt,thematic_ref,ai_annotation,12/21/2025,3,critiquing,NA,NA,NA,NA,NA,NA,NA,NA,dehumanization of enslaved africans,NA,NA,NA,NA
114,922700800.00004,0922700800.00004.txt,thematic_ref,ai_annotation,12/21/2025,3,critiquing,NA,NA,NA,NA,NA,NA,NA,NA,family separation under slavery,NA,NA,NA,NA
115,922700800.00004,0922700800.00004.txt,thematic_ref,ai_annotation,12/21/2025,3,critiquing,NA,NA,NA,NA,NA,NA,NA,NA,white inhumanity in slave trade,NA,NA,NA,NA
116,922700800.00004,0922700800.00004.txt,thematic_ref,ai_annotation,12/21/2025,3,critiquing,NA,NA,NA,NA,NA,NA,NA,NA,plantation labour exploitation in west indies,NA,NA,NA,NA
117,922700800.00004,0922700800.00004.txt,historical_ref,ai_annotation,12/21/2025,3,critiquing,NA,NA,NA,NA,NA,NA,NA,transatlantic slave trade,NA,NA,NA,NA,NA
118,922700800.00004,0922700800.00004.txt,historical_ref,ai_annotation,12/21/2025,3,critiquing,NA,NA,NA,NA,NA,NA,NA,english supply of slaves to american colonies,NA,NA,NA,NA,NA
119,922700800.00004,0922700800.00004.txt,historical_ref,ai_annotation,12/21/2025,3,critiquing,NA,NA,NA,NA,NA,NA,NA,slave raids near sestro 1724,NA,NA,NA,NA,NA
120,922700800.00004,0922700800.00004.txt,historical_ref,ai_annotation,12/21/2025,3,critiquing,NA,NA,NA,NA,NA,NA,NA,african wars to capture slaves for european trade,NA,NA,NA,NA,NA
121,922700800.00004,0922700800.00004.txt,historical_ref,ai_annotation,12/21/2025,3,critiquing,NA,NA,NA,NA,NA,NA,NA,middle passage,NA,NA,NA,NA,NA
122,922700800.00004,0922700800.00004.txt,historical_ref,ai_annotation,12/21/2025,3,critiquing,NA,NA,NA,NA,NA,NA,NA,seasoning in west indies,NA,NA,NA,NA,NA
123,922700800.00004,0922700800.00004.txt,historical_ref,ai_annotation,12/21/2025,3,critiquing,NA,NA,NA,NA,NA,NA,NA,plantation slavery in west indies,NA,NA,NA,NA,NA
124,922700800.00004,0922700800.00004.txt,personal_ref,ai_annotation,12/21/2025,3,critiquing,NA,NA,NA,NA,English slave traders,NA,NA,NA,NA,NA,NA,NA,NA
125,922700800.00004,0922700800.00004.txt,personal_ref,ai_annotation,12/21/2025,3,critiquing,NA,NA,NA,NA,Christian slave traders,NA,NA,NA,NA,NA,NA,NA,NA
126,922700800.00004,0922700800.00004.txt,personal_ref,ai_annotation,12/21/2025,3,critiquing,NA,NA,NA,NA,West Indian slave masters,NA,NA,NA,NA,NA,NA,NA,NA
127,922700800.00004,0922700800.00004.txt,personal_ref,ai_annotation,12/21/2025,3,critiquing,NA,NA,NA,NA,West Indian overseers,NA,NA,NA,NA,NA,NA,NA,NA
128,922700800.00004,0922700800.00004.txt,intertextual_ref,ai_annotation,12/21/2025,3,endorsing,NA,NA,quotation,NA,Adam Anderson,NA,"An historical and chronological deduction of the origin of commerce, from the earliest accounts to the present time.",NA,NA,FALSE,NA,NA,NA
129,922700800.00004,0922700800.00004.txt,intertextual_ref,ai_annotation,12/21/2025,3,endorsing,NA,NA,quotation,NA,surgeon on guinea slave ship 1724,NA,Surgeons Journal of Guinea voyage 1724,NA,NA,FALSE,NA,NA,NA
130,922700800.00004,0922700800.00004.txt,intertextual_ref,ai_annotation,12/21/2025,3,endorsing,NA,NA,quotation,NA,surgeon from new york slave ship,NA,Journal of a surgeon from New York slave trade,NA,NA,FALSE,NA,NA,NA
131,922700800.00004,0922700800.00004.txt,intertextual_ref,ai_annotation,12/21/2025,2,endorsing,NA,NA,allusion,NA,Bible,NA,Book of Job,NA,NA,FALSE,NA,NA,NA
132,922700800.00004,0922700800.00004.txt,discursive_function,ai_annotation,12/21/2025,3,NA,NA,NA,NA,moral_essay,NA,NA,NA,NA,NA,NA,NA,NA,NA
133,922700800.00004,0922700800.00004.txt,voice,ai_annotation,12/21/2025,3,NA,narrator,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
134,922700800.00005,0922700800.00005.txt,thematic_ref,ai_annotation,12/21/2025,3,critiquing,NA,NA,NA,NA,NA,NA,NA,NA,slavery,NA,NA,NA,NA
135,922700800.00005,0922700800.00005.txt,thematic_ref,ai_annotation,12/21/2025,3,critiquing,NA,NA,NA,NA,NA,NA,NA,NA,plantation corporal punishment of slaves,NA,NA,NA,NA
136,922700800.00005,0922700800.00005.txt,thematic_ref,ai_annotation,12/21/2025,3,critiquing,NA,NA,NA,NA,NA,NA,NA,NA,colonial slave law,NA,NA,NA,NA
137,922700800.00005,0922700800.00005.txt,thematic_ref,ai_annotation,12/21/2025,3,endorsing,NA,NA,NA,NA,NA,NA,NA,NA,natural right to liberty,NA,NA,NA,NA
138,922700800.00005,0922700800.00005.txt,thematic_ref,ai_annotation,12/21/2025,3,endorsing,NA,NA,NA,NA,NA,NA,NA,NA,human law versus moral justice,NA,NA,NA,NA
139,922700800.00005,0922700800.00005.txt,thematic_ref,ai_annotation,12/21/2025,3,endorsing,NA,NA,NA,NA,NA,NA,NA,NA,natural equality of africans and englishmen,NA,NA,NA,NA
140,922700800.00005,0922700800.00005.txt,thematic_ref,ai_annotation,12/21/2025,3,endorsing,NA,NA,NA,NA,NA,NA,NA,NA,universal morality,NA,NA,NA,NA
141,922700800.00005,0922700800.00005.txt,historical_ref,ai_annotation,12/21/2025,3,critiquing,NA,NA,NA,NA,NA,NA,NA,plantation slavery in british west indies,NA,NA,NA,NA,NA
142,922700800.00005,0922700800.00005.txt,historical_ref,ai_annotation,12/21/2025,3,critiquing,NA,NA,NA,NA,NA,NA,NA,virginia slave code restricting manumission,NA,NA,NA,NA,NA
143,922700800.00005,0922700800.00005.txt,historical_ref,ai_annotation,12/21/2025,3,critiquing,NA,NA,NA,NA,NA,NA,NA,virginia law permitting killing runaway slaves,NA,NA,NA,NA,NA
144,922700800.00005,0922700800.00005.txt,historical_ref,ai_annotation,12/21/2025,3,critiquing,NA,NA,NA,NA,NA,NA,NA,jamaica statute on rebellious slaves and bounty for killing them,NA,NA,NA,NA,NA
145,922700800.00005,0922700800.00005.txt,historical_ref,ai_annotation,12/21/2025,3,critiquing,NA,NA,NA,NA,NA,NA,NA,barbados slave code allowing impunity for killing slaves,NA,NA,NA,NA,NA
146,922700800.00005,0922700800.00005.txt,personal_ref,ai_annotation,12/21/2025,3,neutral,NA,NA,NA,NA,Sir Hans Sloane,A0045,NA,NA,NA,NA,NA,NA,NA
147,922700800.00005,0922700800.00005.txt,personal_ref,ai_annotation,12/21/2025,2,critiquing,NA,NA,NA,NA,Virginia legislators,NA,NA,NA,NA,NA,NA,NA,NA
148,922700800.00005,0922700800.00005.txt,personal_ref,ai_annotation,12/21/2025,2,critiquing,NA,NA,NA,NA,Jamaica legislators,NA,NA,NA,NA,NA,NA,NA,NA
